language,expected,predicted,count
en,support,support,10
en,support,refute,0
en,support,neutral,2
en,refute,support,0
en,refute,refute,6
en,refute,neutral,6
en,neutral,support,0
en,neutral,refute,0
en,neutral,neutral,11
hi,support,support,10
hi,support,refute,0
hi,support,neutral,2
hi,refute,support,0
hi,refute,refute,5
hi,refute,neutral,6
hi,neutral,support,0
hi,neutral,refute,1
hi,neutral,neutral,11
ta,support,support,11
ta,support,refute,0
ta,support,neutral,0
ta,refute,support,0
ta,refute,refute,11
ta,refute,neutral,1
ta,neutral,support,1
ta,neutral,refute,1
ta,neutral,neutral,10
te,support,support,9
te,support,refute,2
te,support,neutral,1
te,refute,support,0
te,refute,refute,10
te,refute,neutral,2
te,neutral,support,0
te,neutral,refute,1
te,neutral,neutral,10
kn,support,support,11
kn,support,refute,0
kn,support,neutral,1
kn,refute,support,2
kn,refute,refute,7
kn,refute,neutral,2
kn,neutral,support,0
kn,neutral,refute,1
kn,neutral,neutral,11
ml,support,support,12
ml,support,refute,0
ml,support,neutral,2
ml,refute,support,1
ml,refute,refute,12
ml,refute,neutral,1
ml,neutral,support,0
ml,neutral,refute,0
ml,neutral,neutral,7
combined_all_6,support,support,63
combined_all_6,support,refute,2
combined_all_6,support,neutral,8
combined_all_6,refute,support,3
combined_all_6,refute,refute,51
combined_all_6,refute,neutral,18
combined_all_6,neutral,support,1
combined_all_6,neutral,refute,4
combined_all_6,neutral,neutral,60
