language,expected,pre_verdict,post_verdict,count
en,support,neutral,support,12
en,support,neutral,refute,2
en,support,neutral,neutral,9
hi,support,support,support,2
hi,support,refute,refute,1
hi,support,neutral,support,13
hi,support,neutral,refute,2
hi,support,neutral,neutral,7
kn,neutral,refute,refute,6
kn,neutral,neutral,refute,12
kn,neutral,neutral,neutral,7
ml,neutral,neutral,support,3
ml,neutral,neutral,refute,8
ml,neutral,neutral,neutral,14
ta,refute,neutral,refute,24
ta,refute,neutral,neutral,1
te,refute,refute,refute,3
te,refute,neutral,refute,20
te,refute,neutral,neutral,2
all,support,support,support,2
all,support,refute,refute,1
all,support,neutral,support,25
all,support,neutral,refute,4
all,support,neutral,neutral,16
all,refute,refute,refute,3
all,refute,neutral,refute,44
all,refute,neutral,neutral,3
all,neutral,refute,refute,6
all,neutral,neutral,support,3
all,neutral,neutral,refute,20
all,neutral,neutral,neutral,21
