matrix,expected,predicted,count
3way,support,support,21
3way,support,refute,3
3way,support,neutral,49
3way,refute,support,0
3way,refute,refute,17
3way,refute,neutral,55
3way,neutral,support,0
3way,neutral,refute,5
3way,neutral,neutral,60
4way_block_aware,support,support,21
4way_block_aware,support,refute,3
4way_block_aware,support,neutral,26
4way_block_aware,support,uncheckable,23
4way_block_aware,refute,support,0
4way_block_aware,refute,refute,17
4way_block_aware,refute,neutral,25
4way_block_aware,refute,uncheckable,30
4way_block_aware,neutral,support,0
4way_block_aware,neutral,refute,5
4way_block_aware,neutral,neutral,58
4way_block_aware,neutral,uncheckable,2
4way_block_aware,uncheckable,support,0
4way_block_aware,uncheckable,refute,0
4way_block_aware,uncheckable,neutral,12
4way_block_aware,uncheckable,uncheckable,30
