id,language,label,expected,predicted,correct,final_confidence,evidence_count,pre_llm_verdict,pre_llm_confidence,post_llm_verdict,post_llm_confidence,llm_enabled,llm_triggered,llm_used,pre_correct,post_correct,verdict_changed,changed_to_neutral,changed_from_neutral
C002,en,HEALTH,support,neutral,False,0.9930792486079104,9,neutral,0.9930792486079104,neutral,0.9930792486079104,True,True,False,False,False,False,False,False
C021,en,TECHNOLOGY,support,neutral,False,0.8387471852585203,2,neutral,0.843982276574441,neutral,0.8387471852585203,True,True,True,False,False,False,False,False
C003,en,HEALTH,support,neutral,False,0.8464927699270742,3,neutral,0.8474937920934724,neutral,0.8464927699270742,True,True,False,False,False,False,False,False
C018,en,TECHNOLOGY,support,neutral,False,0.9956816370522868,9,neutral,0.9940291898045296,neutral,0.9956816370522868,True,True,False,False,False,False,False,False
C025,en,POLITICS_GOVERNMENT,support,neutral,False,0.6631923155760485,6,neutral,0.6630465323338622,neutral,0.6631923155760485,True,True,True,False,False,False,False,False
C012,en,TECHNOLOGY,support,refute,False,0.86,3,neutral,0.8439276327288364,refute,0.86,True,True,True,False,False,True,False,True
C020,en,TECHNOLOGY,support,neutral,False,0.5216472569079164,4,neutral,0.957972846924368,neutral,0.5216472569079164,True,True,True,False,False,False,False,False
C009,en,HEALTH,support,neutral,False,0.9811231674614396,5,neutral,0.8145544442089214,neutral,0.9811231674614396,True,True,True,False,False,False,False,False
C006,en,HEALTH,support,neutral,False,0.997350347943022,9,neutral,0.8478278424620518,neutral,0.997350347943022,True,True,True,False,False,False,False,False
C015,en,TECHNOLOGY,support,refute,False,0.88,4,neutral,0.9904162638625424,refute,0.88,True,True,True,False,False,True,False,True
C024,en,POLITICS_GOVERNMENT,support,neutral,False,0.9897388262753974,4,neutral,0.840010320181774,neutral,0.9897388262753974,True,True,True,False,False,False,False,False
C105,kn,SOCIETY_CULTURE,neutral,refute,False,0.99,5,neutral,0.9277403582662188,refute,0.99,True,True,True,True,False,True,False,True
C048,hi,SCIENCE,support,neutral,False,0.8565958660646715,4,neutral,0.7474687993526459,neutral,0.8565958660646715,True,True,True,False,False,False,False,False
C027,hi,POLITICS_GOVERNMENT,support,neutral,False,0.9309953470902737,5,neutral,0.9091541175227024,neutral,0.9309953470902737,True,True,False,False,False,False,False,False
C127,ml,SPORTS,neutral,refute,False,0.96,2,neutral,0.65,refute,0.96,True,True,True,True,False,True,False,True
