summary_file,last_write,total_rows,train_rows,val_rows,test_rows,input_files,labels_or_classes
data\processed\relevance\multilingual\summary.json,2026-04-16T20:51:47.873551,218654,174923,21865,21866,,
data\processed\stance\en_fever\summary.json,2026-04-16T10:36:26.666575,,,,,,
data\processed\stance\en_mnli\summary.json,2026-04-16T09:20:33.406066,,120000,9815,9832,,
data\processed\stance\en_vitaminc\summary.json,2026-04-16T12:59:49.597514,,166072,20759,20760,,
data\processed\stance\indic_fever_mix\summary.json,2026-04-17T05:52:57.715797,,,,,,
data\processed\stance\indic_fever_mix_backup_before_clean\summary.json,2026-04-16T22:47:36.821938,,,,,,
data\processed\stance\indic_fever_mix_cleaned\summary.json,2026-04-17T05:52:57.715797,,,,,,
data\processed\stance\indic_xnli\summary.json,2026-04-16T22:29:30.645010,,,,,,
data\processed\stance\indic_xnli_clean\summary.json,2026-04-16T22:40:33.108649,,,,,,
data\processed\checkability\multilingual\dataset_summary.json,2026-04-24T10:24:14.516682,2138,1712,213,213,C:\Users\chint\Downloads\balanced_multilingual_claims_252_full_v2.json; C:\Users\chint\Downloads\252_eval.json; F:\RFCS\150_eval_2.json,FACTUAL_CLAIM; PERSONAL_STATEMENT; OPINION; QUESTION_OR_REWRITE; OTHER_UNCHECKABLE
data\processed\context\indic_mt_50k\split_summary.json,2026-04-16T05:53:54.271217,,,,,,
